,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
68,Código 1273560  / BARICHARA,"EN ARRIENDO $1,000,000",Apartamento en Arriendo BARICHARA  San Antonio de Prado,BARICHARA,Ceramica,1,44 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,44 M2.,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
69,Código 1273418  / SAN ANTONIO DE PREDO,"EN ARRIENDO $950,000",Apartamento en Arriendo SAN ANTONIO DE PREDO San Antonio de Prado,SAN ANTONIO DE PREDO,Ceramica,1,57 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,1,2,57 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
70,Código 1271556  / LA FABIOLA,"EN ARRIENDO $950,000",Apartamento en Arriendo LA FABIOLA San Antonio de Prado,LA FABIOLA,Ceramica,1,60 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,2,120 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,Código 1269078  / prodo,"EN ARRIENDO $900,000",Apartamento en Arriendo prodo San Antonio de Prado,prodo,Ceramica,1,40 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,0,40 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
72,Código 1268503  / el vergel,"EN ARRIENDO $1,200,000",Apartamento en Arriendo o Venta el vergel San Antonio Prado,el vergel,Ceramica,2,53 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (comun),,3,3,53 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0
73,Código 1267997  / San Antonio de Prado,"EN ARRIENDO $950,000",Apartamento en Arriendo San Antonio de Prado San Antonio Prado,San Antonio de Prado,Ceramica,1,70 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,0,70 M2.,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
74,Código 1262474  / El Vergel,"EN ARRIENDO $1,100,000",Apartamento en Arriendo El Vergel San Antonio Prado,El Vergel,Ceramica,2,60 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,2,3,60 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
75,Código 1259972  / EL VERGEL,"EN ARRIENDO $1,100,000",Apartamento en Arriendo EL VERGEL  San Antonio Prado,EL VERGEL,Ceramica,1,45 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,45 M2.,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
76,Código 1257961  / VERGEL,"EN ARRIENDO $1,100,000",Apartamento en Arriendo VERGEL San Antonio Prado,VERGEL,Ceramica,1,60 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,12,3,60 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Código 1256237  / El Vergel,"EN ARRIENDO $1,250,000",Apartamento en Arriendo El Vergel San Antonio Prado,El Vergel,Ceramica,2,57 M2. aproximadamente,San Antonio de Prado,1,Integral,0 (),,3,3,57 M2.,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
78,Código 1254897  / Ciudadela villa del bosque,"EN ARRIENDO $1,100,000",Apartamento en Arriendo Ciudadela villa del bosque San Antonio Prado,Ciudadela villa del bosque,Ceramica,2,54 M2. aproximadamente,San Antonio de Prado,1,Integral,1 (),Porteria 24 horas y Calentador de agua,3,3,54 M2.,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
79,Código 1254087  / EL VERGEL,"EN ARRIENDO $1,100,000",Apartamento en Arriendo EL VERGEL  San Antonio Prado,EL VERGEL,Ceramica,1,50 M2. aproximadamente,San Antonio de Prado,1,Semi-Integral,0 (),,2,3,50 M2.,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
80,Código 1224433  / Ciudadela villa del bosque,"EN ARRIENDO $1,000,000",Apartamento en Arriendo Ciudadela villa del bosque San Antonio Prado,Ciudadela villa del bosque,Ceramica,2,53 M2. aproximadamente,San Antonio de Prado,1,Integral,1 (),Calentador de agua y Porteria 24 horas.,3,3,53 M2.,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
81,Código 1185563  / Ciiudadela villa del bosque,"EN ARRIENDO $1,200,000",Apartamento en Arriendo Ciiudadela villa del bosque  San Antonio Prado,Ciiudadela villa del bosque,Ceramica,2,52 M2. aproximadamente,San Antonio de Prado,1,Integral,1 (),,3,3,52 M2.,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
