codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1311413  / Castilla,"EN ARRIENDO $1,800,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Baldosa comun,1,115 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,115 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1311232  / Centro,"EN ARRIENDO $950,000",Apartamento en Arriendo Centro Medellin ,Centro,Baldosa comun,1,80 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,3,3,80 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1310980  / San Pablo,"EN ARRIENDO $750,000",Apartamento en Arriendo San Pablo Medellin ,San Pablo,Ceramica,1,60 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,2,2,60 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Código 1310880  / Castilla,"EN ARRIENDO $750,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Ceramica,1,57 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,2,3,57 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1310836  / Villanueva,"EN ARRIENDO $1,150,000",Apartamento en Arriendo Villanueva Medellin ,Villanueva,Ceramica,1,55 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,4,55 M2.,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
Código 1310375  / Boston,"EN ARRIENDO $650,000",Apartamento en Arriendo Boston Medellin ,Boston,Ceramica,1,18 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,1,3,18 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1310175  / El Chagualo,"EN ARRIENDO $1,400,000",Apartamento en Arriendo El Chagualo Medellin ,El Chagualo,Ceramica,1,50 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,50 M2.,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
Código 1309656  / 12 de Octubre,"EN ARRIENDO $700,000",Apartamento en Arriendo 12 de Octubre Medellin ,12 de Octubre,Ceramica,1,52 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,1,0,52 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1309618  / 12 de Octubre,"EN ARRIENDO $800,000",Apartamento en Arriendo 12 de Octubre Medellin ,12 de Octubre,Ceramica,1,52 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,2,0,52 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1309314  / Aranjuez,"EN ARRIENDO $900,000",Apartamento en Arriendo Aranjuez Medellin ,Aranjuez,Baldosa comun,1,75 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,2,3,75 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1309232  / Manrique,"EN ARRIENDO $950,000",Apartamento en Arriendo Manrique Medellin ,Manrique,Ceramica,1,62 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,3,3,62 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1309127  / Buenos Aires,"EN ARRIENDO $2,200,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Ceramica,3,104 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),local comercial,3,3,104 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1309089  / Manrique,"EN ARRIENDO $900,000",Apartamento en Arriendo Manrique Medellin ,Manrique,Ceramica,1,65 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,2,3,65 M2.,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1308083  / El Salvador,"EN ARRIENDO $1,000,000",Apartamento en Arriendo El Salvador Medellin ,El Salvador,Ceramica,1,52 M2. aproximadamente,Medellin Zona 1 - Centro,2,Integral,0 (),,2,3,52 M2.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1307176  / Buenos Aires,"EN ARRIENDO $1,800,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Ceramica,2,73 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,1 (),,3,4,73 M2.,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Código 1305518  / Bombona,"EN ARRIENDO $6,000,000",Apartamento en Arriendo Bombona Medellin ,Bombona,Baldosa comun,3,312 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,6,4,312 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1305403  / Centro,"EN ARRIENDO $920,000",Apartamento en Arriendo Centro Medellin ,Centro,Baldosa comun,1,40 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,1,4,40 M2.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Código 1305051  / Villa Hermosa,"EN ARRIENDO $2,100,000",Apartamento en Arriendo Villa Hermosa Medellin ,Villa Hermosa,Baldosa comun,2,140 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,4,3,140 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1304944  / Aranjuez,"EN ARRIENDO $950,000",Apartamento en Arriendo Aranjuez Medellin ,Aranjuez,Ceramica,1,45 M2. aproximadamente,Medellin Zona 1 - Centro,1,SencillaRed de gas,0 (),,2,2,45 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Código 1304888  / Castilla,"EN ARRIENDO $1,800,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Baldosa comun,2,75 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,75 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1304828  / Castilla,"EN ARRIENDO $1,800,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Baldosa comun,2,115 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,115 M2.,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1304802  / Castilla,"EN ARRIENDO $1,800,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Baldosa comun,2,115 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,115 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1304783  / Castilla,"EN ARRIENDO $1,800,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Baldosa comun,2,115 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,3,3,115 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1304499  / Castilla,"EN ARRIENDO $1,100,000",Apartamento en Arriendo Castilla Medellin ,Castilla,Ceramica,1,60 M2. aproximadamente,Medellin Zona 1 - Centro,402,Sencilla,0 (),,3,3,60 M2.,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Código 1304280  / Manrique,"EN ARRIENDO $1,150,000",Apartamento en Arriendo Manrique Medellin ,Manrique,Ceramica,1,100 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),,2,3,100 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Código 1304224  / Barrio Palmas,"EN ARRIENDO $4,900,000",Apartamento en Arriendo Barrio Palmas Medellin ,Barrio Palmas,Ceramica,2,211 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,1 + cuarto útil (),,6,3,211 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Código 1302447  / Barrio Palmas,"EN ARRIENDO $800,000",Apartamento en Arriendo Barrio Palmas Medellin ,Barrio Palmas,Ceramica,1,15 M2. aproximadamente,Medellin Zona 1 - Centro,1,Sencilla,0 (),,1,3,15 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1302044  / Boston,"EN ARRIENDO $2,000,000",Apartamento en Arriendo Boston Medellin ,Boston,Ceramica,2,52 M2. aproximadamente,Medellin Zona 1 - Centro,7,Integral,0 (),,2,4,52 M2.,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
Código 1299568  / Buenos Aires,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Ceramica,2,37 M2. aproximadamente,Medellin Zona 1 - Centro,2,Sencilla,0 (),,2,3,37 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1297073  / Buenos Aires,"EN ARRIENDO $1,300,000",Apartamento en Arriendo Buenos Aires Medellin ,Buenos Aires,Ceramica,1,40 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (COMUN),,2,3,40 M2.,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
Código 1295822  / Aranjuez,"EN ARRIENDO $950,000",Apartamento en Arriendo Aranjuez Medellin ,Aranjuez,Ceramica,1,65 M2. aproximadamente,Medellin Zona 1 - Centro,1,Semi-Integral,0 (),SON 3 ALCOBAS 2 AMPLIAS Y UNA PEQUEÑA,3,2,65 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1295226  / Aranjuez,"EN ARRIENDO $853,000",Apartamento en Arriendo Aranjuez Medellin ,Aranjuez,Ceramica,1,40 M2. aproximadamente,Medellin Zona 1 - Centro,1,Integral,0 (),,2,3,40 M2.,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
