,codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
1367,Código 1090825  / Loma Los Gonzalez,"EN ARRIENDO $12,900,000",Apartamento en Arriendo Loma Los Gonzalez Medellin ,Loma Los Gonzalez,Marmol,4 + Baño de servicio,272 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,4 + cuarto útil (),,3 + Alcoba de servicio,6,272 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0
1368,Código 1089571  / Las Santas,"EN ARRIENDO $4,600,000",Apartamento en Arriendo Las Santas Medellin ,Las Santas,Madera,3 + Baño de servicio,168 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3 + Alcoba de servicio,6,168 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
1369,Código 1089153  / Loma Los Gonzalez,"EN ARRIENDO $5,000,000",Apartamento en Arriendo Loma Los Gonzalez Medellin ,Loma Los Gonzalez,Porcelanato,4,185 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 (),,3,6,185 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
1370,Código 1089023  / Milla de Oro,"EN ARRIENDO $5,500,000",Apartamento En Venta o Arriendo Poblado Milla de Oro,Milla de Oro,Marmol,"3
                                    2 cabinados en vidrio templado
1 sencillo",210 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integralabierta,3 + cuarto útil (),,"3 + Alcoba de servicio
                                    2 closet
1 vestier",6,210 M2.,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0
1371,Código 1088781  / Loma Los Gonzalez,"EN ARRIENDO $4,300,000",Apartamento en Arriendo Loma Los Gonzalez Medellin ,Loma Los Gonzalez,Porcelanato,2,130 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,2,6,130 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0
1372,Código 1088754  / Castropol,"EN ARRIENDO $3,500,000",Apartamento en Arriendo Castropol Medellin ,Castropol,Porcelanato,2,94 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3,6,94 M2.,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0
1373,Código 1088589  / Transv. Superior,"EN ARRIENDO $2,800,000",Apartamento en Arriendo Transv. Superior El Poblado,Transv. Superior,Ceramica,2,127 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil ( 1),,3,6,127 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0
1374,Código 1088386  / El Tesoro,"EN ARRIENDO $13,000,000",Apartamento en Arriendo El Tesoro Medellin Zona 2 - El Poblado,El Tesoro,Ceramica,1,410 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,1,6,410 M2.,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0
1375,Código 1086554  / Los Balsos,"EN ARRIENDO $3,600,000",Apartamento en Arriendo Los Balsos Medellin ,Los Balsos,Porcelanato,3 + Baño de servicio,125 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,2 + cuarto útil (),,3,6,125 M2.,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
1376,Código 1086323  / Los Balsos,"EN ARRIENDO $2,400,000",Apartamento en Arriendo Los Balsos Medellin Zona 2 - El Poblado,Los Balsos,Ceramica,1,100 M2. aproximadamente,Medellin Zona 2 - El Poblado,1,Integral,0 (),,1,6,100 M2.,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
