codigo,precio,zona,barrio_sector,tipo_pisos,baños_familiares,area_bruta,ciudad,numero_niveles,tipo_cocina,parqueaderos,otras_comodidades,alcobas_familiares,estrato,area_total,juegos_infantiles,balcon,zona_ropas,camaras_cctv,cancha_polideportiva,ascensor,cancha_squash,zona_bbq,patio,unidad_cerrada_conjunto,zonas_verdes,aire_acondicionado,jacuzzi,red_de_Gas,turco,porteria_24_7,sauna,calentador_de_agua,terraza,closet_de_linos,biblioteca,parqueadero_visitantes,gimnasio,piscina,salon_social,dispositivos_automatizacion,alarma
Código 1292748  / Belén Los Alpes,"EN ARRIENDO $3,200,000",Apartamento en Arriendo Belén Los Alpes Medellin ,Belén Los Alpes,Ceramica,2,89 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,7,3,89 M2.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1292179  / Belén Miravalle,"EN ARRIENDO $2,600,000",Apartamento en Arriendo Belén Miravalle Medellin ,Belén Miravalle,Ceramica,4,200 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,4,4,200 M2.,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1291978  / Belen Parque,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Belen Parque Medellin ,Belen Parque,Ceramica,1,40 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,3,40 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1291734  / Alameda,"EN ARRIENDO $2,700,000",Apartamento en Arriendo Alameda Medellin ,Alameda,Baldosa comun,3,180 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,1 (),,4,3,180 M2.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Código 1290949  / Rosales,"EN ARRIENDO $3,000,000",Apartamento en Arriendo Rosales Medellin ,Rosales,Ceramica,1,50 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,0 (),,3,4,50 M2.,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Código 1290845  / Fatima,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Fatima Medellin ,Fatima,Ceramica,2,55 M2. aproximadamente,Medellin Zona 4 - Belen,1,Semi-Integral,0 (),,2,3,55 M2.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1290606  / Guayabal,"EN ARRIENDO $1,100,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,1,40 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,0,40 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Código 1289531  / La Mota,"EN ARRIENDO $3,150,000",Apartamento en Arriendo La Mota Medellin ,La Mota,Porcelanato,2,118 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,3,4,118 M2.,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0
Código 1289430  / Guayabal,"EN ARRIENDO $3,500,000",Apartamento en Arriendo Guayabal Medellin ,Guayabal,Ceramica,2,68 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,3,4,68 M2.,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
Código 1288487  / Belen La Gloria,"EN ARRIENDO $2,000,000",Apartamento en Arriendo Belen La Gloria Medellin ,Belen La Gloria,Baldosa comun,2,80 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,4,3,80 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Código 1288089  / Santa Fé,"EN ARRIENDO $2,500,000",Apartamento en Arriendo Santa Fé Medellin ,Santa Fé,Ceramica,1,44 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,1,5,44 M2.,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Código 1287489  / La Mota,"EN ARRIENDO $3,900,000",Apartamento en Arriendo La Mota Medellin ,La Mota,Marmol,2,150 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,3 + Alcoba de servicio,4,150 M2.,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0
Código 1287344  / Santa Fé,"EN ARRIENDO $3,600,000",Apartamento en Arriendo Santa Fé Medellin ,Santa Fé,Ceramica,2 + Baño de servicio,69 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,1 + cuarto útil (),,3 + Alcoba de servicio,5,69 M2.,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0
Código 1286094  / Belen Altavista,"EN ARRIENDO $1,500,000",Apartamento en Arriendo Belen Altavista Medellin ,Belen Altavista,Ceramica,1,110 M2. aproximadamente,Medellin Zona 4 - Belen,1,Integral,0 (),,1,3,120 M2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
